WKT,nombre,descripción,
POINT (-77.0474714 38.8956294),Nodo 164,,
POINT (-77.0449254 38.8960214),Nodo 165,,
POINT (-77.044389 38.8959943),Nodo 166,,
POINT (-77.039446 38.9007949),Nodo 167,,
POINT (-77.0385186 38.9013434),Nodo 168,,
POINT (-77.0365606 38.9013308),Nodo 169,,
POINT (-77.0345972 38.9013183),Nodo 170,,
POINT (-77.0336423 38.9013601),Nodo 171,,
POINT (-77.0319364 38.9013308),Nodo 172,,
POINT (-77.0295761 38.9013183),Nodo 173,,
POINT (-77.0296127 38.9002454),Nodo 174,,
POINT (-77.0280893 38.9007714),Nodo 175,,
POINT (-77.0280463 38.9013225),Nodo 176,,
POINT (-77.0271061 38.9013735),Nodo 177,,
POINT (-77.0270793 38.9010792),Nodo 178,,
POINT (-77.0270203 38.9003277),Nodo 179,,
POINT (-77.0260169 38.9003468),Nodo 180,,
POINT (-77.0259901 38.9008937),Nodo 181,,
POINT (-77.0260223 38.901403),Nodo 182,,
POINT (-77.0239999 38.9021043),Nodo 183,,
POINT (-77.0239463 38.9009187),Nodo 184,,
POINT (-77.0229324 38.9008853),Nodo 185,,
POINT (-77.0219614 38.900877),Nodo 186,,
POINT (-77.0219056 38.9021343),Nodo 187,,
POINT (-77.0199283 38.9008895),Nodo 188,,
POINT (-77.0219095 38.9024498),Nodo 189,,
POINT (-77.0199864 38.9024831),Nodo 190,,
POINT (-77.0220034 38.9028484),Nodo 191,,
POINT (-77.0200934 38.9034759),Nodo 192,,
POINT (-77.0494474 38.9025095),Nodo 193,,
POINT (-77.0492203 38.9023507),Nodo 194,,
POINT (-77.0488234 38.9021443),Nodo 195,,
POINT (-77.0479302 38.9017581),Nodo 196,,
POINT (-77.048818 38.9023759),Nodo 197,,
POINT (-77.0466534 38.902377),Nodo 198,,
POINT (-77.0459722 38.9024073),Nodo 199,,
POINT (-77.0454419 38.9024072),Nodo 200,,
POINT (-77.0449049 38.9023906),Nodo 201,,
POINT (-77.0440558 38.9024097),Nodo 202,,
POINT (-77.0434791 38.9023837),Nodo 203,,
POINT (-77.0434543 38.9031727),Nodo 204,,
POINT (-77.0430298 38.9024144),Nodo 205,,
POINT (-77.0424214 38.9024046),Nodo 206,,
POINT (-77.0416907 38.9024078),Nodo 207,,
POINT (-77.0412255 38.9024118),Nodo 208,,
POINT (-77.0406542 38.9024186),Nodo 209,,
POINT (-77.0395021 38.9023883),Nodo 210,,
POINT (-77.0395172 38.9013367),Nodo 211,,
POINT (-77.0394034 38.9013359),Nodo 212,,
POINT (-77.0393913 38.9023986),Nodo 213,,
POINT (-77.0486357 38.902428),Nodo 214,,
POINT (-77.0494431 38.9027265),Nodo 215,,
POINT (-77.0488315 38.9026347),Nodo 216,,
POINT (-77.048625 38.9026368),Nodo 217,,
POINT (-77.0499965 38.9025329),Nodo 218,,
POINT (-77.0500018 38.9024702),Nodo 219,,
POINT (-77.0466397 38.902559),Nodo 220,,
POINT (-77.0466462 38.9024852),Nodo 221,,
POINT (-77.0464363 38.9025262),Nodo 222,,
POINT (-77.0460826 38.9025329),Nodo 223,,
POINT (-77.0453028 38.9025235),Nodo 224,,
POINT (-77.0450915 38.9025293),Nodo 225,,
POINT (-77.0449003 38.9025197),Nodo 226,,
POINT (-77.0443741 38.9025307),Nodo 227,,
POINT (-77.0438711 38.9025097),Nodo 228,,
POINT (-77.0436646 38.9025285),Nodo 229,,
POINT (-77.043454 38.9025379),Nodo 230,,
POINT (-77.0431979 38.9025212),Nodo 231,,
POINT (-77.042868 38.9025442),Nodo 232,,
POINT (-77.0423114 38.9025076),Nodo 233,,
POINT (-77.0421988 38.9025546),Nodo 234,,
POINT (-77.0416838 38.9025243),Nodo 235,,
POINT (-77.0413485 38.902516),Nodo 236,,
POINT (-77.0410768 38.9025453),Nodo 237,,
POINT (-77.040492 38.9025129),Nodo 238,,
POINT (-77.0395117 38.9025202),Nodo 239,,
POINT (-77.039391 38.9025369),Nodo 240,,
POINT (-77.0466736 38.902666),Nodo 241,,
POINT (-77.0460514 38.9026493),Nodo 242,,
POINT (-77.0452108 38.9026493),Nodo 243,,
POINT (-77.0449131 38.9026514),Nodo 244,,
POINT (-77.0442479 38.9026431),Nodo 245,,
POINT (-77.0438322 38.9026493),Nodo 246,,
POINT (-77.0434719 38.9026598),Nodo 247,,
POINT (-77.0427477 38.9026514),Nodo 248,,
POINT (-77.0423069 38.902669),Nodo 249,,
POINT (-77.0417276 38.9026649),Nodo 250,,
POINT (-77.0407627 38.9026467),Nodo 251,,
POINT (-77.039541 38.902654),Nodo 252,,
POINT (-77.0393854 38.9026409),Nodo 253,,
POINT (-77.038511 38.9025239),Nodo 254,,
POINT (-77.0370499 38.9025361),Nodo 255,,
POINT (-77.0365568 38.9025407),Nodo 256,,
POINT (-77.0355322 38.9025407),Nodo 257,,
POINT (-77.034588 38.9025199),Nodo 258,,
POINT (-77.0384933 38.9024162),Nodo 259,,
POINT (-77.0372649 38.9024371),Nodo 260,,
POINT (-77.036546 38.9024162),Nodo 261,,
POINT (-77.0355483 38.9024162),Nodo 262,,
POINT (-77.0345773 38.9024162),Nodo 263,,
POINT (-77.039368 38.9027867),Nodo 264,,
POINT (-77.0385101 38.9026484),Nodo 265,,
POINT (-77.0372681 38.9026431),Nodo 266,,
POINT (-77.0365415 38.9026452),Nodo 267,,
POINT (-77.0355256 38.9026362),Nodo 268,,
POINT (-77.0345741 38.902638),Nodo 269,,
POINT (-77.033639 38.902638),Nodo 270,,
POINT (-77.0336384 38.9025141),Nodo 271,,
POINT (-77.0336384 38.9024149),Nodo 272,,
POINT (-77.033157 38.9024138),Nodo 273,,
POINT (-77.0327292 38.9024097),Nodo 274,,
POINT (-77.0319589 38.9024007),Nodo 275,,
POINT (-77.0331637 38.9025204),Nodo 276,,
POINT (-77.0327051 38.9025267),Nodo 277,,
POINT (-77.0319713 38.9025208),Nodo 278,,
POINT (-77.0319839 38.9026408),Nodo 279,,
POINT (-77.030698 38.9026393),Nodo 280,,
POINT (-77.0305585 38.9025182),Nodo 281,,
POINT (-77.0296479 38.9026288),Nodo 282,,
POINT (-77.0296747 38.9025307),Nodo 283,,
POINT (-77.029653 38.9024001),Nodo 284,,
POINT (-77.0296208 38.9018741),Nodo 285,,
POINT (-77.0280678 38.9018866),Nodo 286,,
POINT (-77.0290749 38.9025243),Nodo 287,,
POINT (-77.0286056 38.902541),Nodo 288,,
POINT (-77.0282891 38.9025305),Nodo 289,,
POINT (-77.0289381 38.9024303),Nodo 290,,
POINT (-77.0284554 38.9024178),Nodo 291,,
POINT (-77.0280745 38.9024053),Nodo 292,,
POINT (-77.0286324 38.9026537),Nodo 293,,
POINT (-77.0280939 38.9026428),Nodo 294,,
POINT (-77.0271122 38.9025379),Nodo 295,,
POINT (-77.0260178 38.902517),Nodo 296,,
POINT (-77.024033 38.9025337),Nodo 297,,
POINT (-77.0239925 38.9029718),Nodo 298,,
POINT (-77.0497382 38.9030099),Nodo 299,,
POINT (-77.0489979 38.9037446),Nodo 300,,
POINT (-77.0488155 38.903753),Nodo 301,,
POINT (-77.046649 38.9037428),Nodo 302,,
POINT (-77.0448968 38.903736),Nodo 303,,
POINT (-77.0434752 38.9037506),Nodo 304,,
POINT (-77.0416814 38.9037412),Nodo 305,,
POINT (-77.040174 38.9037537),Nodo 306,,
POINT (-77.0399085 38.9037578),Nodo 307,,
POINT (-77.0385235 38.9037236),Nodo 308,,
POINT (-77.0365562 38.9037361),Nodo 309,,
POINT (-77.0345727 38.9037499),Nodo 310,,
POINT (-77.0330802 38.9037394),Nodo 311,,
POINT (-77.0320123 38.9037195),Nodo 312,,
POINT (-77.0296491 38.9037279),Nodo 313,,
POINT (-77.0280988 38.9037487),Nodo 314,,
POINT (-77.0271332 38.9037487),Nodo 315,,
POINT (-77.0267277 38.9038335),Nodo 316,,
POINT (-77.0259767 38.9035872),Nodo 317,,
POINT (-77.0260521 38.9041866),Nodo 318,,
POINT (-77.0240458 38.9041532),Nodo 319,,
POINT (-77.021943 38.9041949),Nodo 320,,
POINT (-77.0199206 38.9041908),Nodo 321,,
POINT (-77.0497005 38.8983214),Nodo 322,,
POINT (-77.0488348 38.9052691),Nodo 323,,
POINT (-77.0475493 38.9052669),Nodo 324,,
